"","NEGERI","variable","value"
"1","PERLIS","Minggu.1",NA
"2","KEDAH","Minggu.1",NA
"3","PULAU PINANG","Minggu.1",NA
"4","PERAK","Minggu.1",NA
"5","SELANGOR","Minggu.1",NA
"6","WPKL/PUTRAJAYA","Minggu.1",NA
"7","N.SEMBILAN","Minggu.1",NA
"8","MELAKA","Minggu.1",NA
"9","JOHOR","Minggu.1",NA
"10","PAHANG","Minggu.1",NA
"11","TERENGGANU","Minggu.1",NA
"12","KELANTAN","Minggu.1",NA
"13","SARAWAK","Minggu.1",NA
"14","SABAH","Minggu.1",NA
"15","LABUAN","Minggu.1",NA
"16","PERLIS","Minggu.2",NA
"17","KEDAH","Minggu.2",NA
"18","PULAU PINANG","Minggu.2",NA
"19","PERAK","Minggu.2",NA
"20","SELANGOR","Minggu.2",NA
"21","WPKL/PUTRAJAYA","Minggu.2",NA
"22","N.SEMBILAN","Minggu.2",NA
"23","MELAKA","Minggu.2",NA
"24","JOHOR","Minggu.2",NA
"25","PAHANG","Minggu.2",NA
"26","TERENGGANU","Minggu.2",NA
"27","KELANTAN","Minggu.2",NA
"28","SARAWAK","Minggu.2",NA
"29","SABAH","Minggu.2",NA
"30","LABUAN","Minggu.2",NA
"31","PERLIS","Minggu.3",NA
"32","KEDAH","Minggu.3",NA
"33","PULAU PINANG","Minggu.3",NA
"34","PERAK","Minggu.3",NA
"35","SELANGOR","Minggu.3",NA
"36","WPKL/PUTRAJAYA","Minggu.3",NA
"37","N.SEMBILAN","Minggu.3",NA
"38","MELAKA","Minggu.3",NA
"39","JOHOR","Minggu.3",NA
"40","PAHANG","Minggu.3",NA
"41","TERENGGANU","Minggu.3",NA
"42","KELANTAN","Minggu.3",NA
"43","SARAWAK","Minggu.3",NA
"44","SABAH","Minggu.3",NA
"45","LABUAN","Minggu.3",NA
"46","PERLIS","Minggu.4",NA
"47","KEDAH","Minggu.4",NA
"48","PULAU PINANG","Minggu.4",NA
"49","PERAK","Minggu.4",NA
"50","SELANGOR","Minggu.4",NA
"51","WPKL/PUTRAJAYA","Minggu.4",NA
"52","N.SEMBILAN","Minggu.4",NA
"53","MELAKA","Minggu.4",NA
"54","JOHOR","Minggu.4",NA
"55","PAHANG","Minggu.4",NA
"56","TERENGGANU","Minggu.4",NA
"57","KELANTAN","Minggu.4",NA
"58","SARAWAK","Minggu.4",NA
"59","SABAH","Minggu.4",NA
"60","LABUAN","Minggu.4",NA
"61","PERLIS","Minggu.5",NA
"62","KEDAH","Minggu.5",NA
"63","PULAU PINANG","Minggu.5",NA
"64","PERAK","Minggu.5",NA
"65","SELANGOR","Minggu.5",NA
"66","WPKL/PUTRAJAYA","Minggu.5",NA
"67","N.SEMBILAN","Minggu.5",NA
"68","MELAKA","Minggu.5",NA
"69","JOHOR","Minggu.5",NA
"70","PAHANG","Minggu.5",NA
"71","TERENGGANU","Minggu.5",NA
"72","KELANTAN","Minggu.5",NA
"73","SARAWAK","Minggu.5",NA
"74","SABAH","Minggu.5",NA
"75","LABUAN","Minggu.5",NA
"76","PERLIS","Minggu.6",NA
"77","KEDAH","Minggu.6",NA
"78","PULAU PINANG","Minggu.6",NA
"79","PERAK","Minggu.6",NA
"80","SELANGOR","Minggu.6",NA
"81","WPKL/PUTRAJAYA","Minggu.6",NA
"82","N.SEMBILAN","Minggu.6",NA
"83","MELAKA","Minggu.6",NA
"84","JOHOR","Minggu.6",NA
"85","PAHANG","Minggu.6",NA
"86","TERENGGANU","Minggu.6",NA
"87","KELANTAN","Minggu.6",NA
"88","SARAWAK","Minggu.6",NA
"89","SABAH","Minggu.6",NA
"90","LABUAN","Minggu.6",NA
"91","PERLIS","Minggu.7",NA
"92","KEDAH","Minggu.7",NA
"93","PULAU PINANG","Minggu.7",NA
"94","PERAK","Minggu.7",NA
"95","SELANGOR","Minggu.7",NA
"96","WPKL/PUTRAJAYA","Minggu.7",NA
"97","N.SEMBILAN","Minggu.7",NA
"98","MELAKA","Minggu.7",NA
"99","JOHOR","Minggu.7",NA
"100","PAHANG","Minggu.7",NA
"101","TERENGGANU","Minggu.7",NA
"102","KELANTAN","Minggu.7",NA
"103","SARAWAK","Minggu.7",NA
"104","SABAH","Minggu.7",NA
"105","LABUAN","Minggu.7",NA
"106","PERLIS","Minggu.8",2
"107","KEDAH","Minggu.8",4
"108","PULAU PINANG","Minggu.8",34
"109","PERAK","Minggu.8",36
"110","SELANGOR","Minggu.8",583
"111","WPKL/PUTRAJAYA","Minggu.8",116
"112","N.SEMBILAN","Minggu.8",50
"113","MELAKA","Minggu.8",7
"114","JOHOR","Minggu.8",50
"115","PAHANG","Minggu.8",31
"116","TERENGGANU","Minggu.8",28
"117","KELANTAN","Minggu.8",18
"118","SARAWAK","Minggu.8",114
"119","SABAH","Minggu.8",48
"120","LABUAN","Minggu.8",0
"121","PERLIS","Minggu.9",4
"122","KEDAH","Minggu.9",14
"123","PULAU PINANG","Minggu.9",23
"124","PERAK","Minggu.9",65
"125","SELANGOR","Minggu.9",496
"126","WPKL/PUTRAJAYA","Minggu.9",154
"127","N.SEMBILAN","Minggu.9",31
"128","MELAKA","Minggu.9",4
"129","JOHOR","Minggu.9",45
"130","PAHANG","Minggu.9",38
"131","TERENGGANU","Minggu.9",23
"132","KELANTAN","Minggu.9",28
"133","SARAWAK","Minggu.9",100
"134","SABAH","Minggu.9",49
"135","LABUAN","Minggu.9",0
"136","PERLIS","Minggu.10",0
"137","KEDAH","Minggu.10",9
"138","PULAU PINANG","Minggu.10",24
"139","PERAK","Minggu.10",46
"140","SELANGOR","Minggu.10",467
"141","WPKL/PUTRAJAYA","Minggu.10",169
"142","N.SEMBILAN","Minggu.10",32
"143","MELAKA","Minggu.10",10
"144","JOHOR","Minggu.10",59
"145","PAHANG","Minggu.10",33
"146","TERENGGANU","Minggu.10",18
"147","KELANTAN","Minggu.10",27
"148","SARAWAK","Minggu.10",106
"149","SABAH","Minggu.10",39
"150","LABUAN","Minggu.10",0
"151","PERLIS","Minggu.11",1
"152","KEDAH","Minggu.11",12
"153","PULAU PINANG","Minggu.11",18
"154","PERAK","Minggu.11",31
"155","SELANGOR","Minggu.11",447
"156","WPKL/PUTRAJAYA","Minggu.11",140
"157","N.SEMBILAN","Minggu.11",25
"158","MELAKA","Minggu.11",11
"159","JOHOR","Minggu.11",53
"160","PAHANG","Minggu.11",21
"161","TERENGGANU","Minggu.11",15
"162","KELANTAN","Minggu.11",23
"163","SARAWAK","Minggu.11",72
"164","SABAH","Minggu.11",29
"165","LABUAN","Minggu.11",0
"166","PERLIS","Minggu.12",1
"167","KEDAH","Minggu.12",15
"168","PULAU PINANG","Minggu.12",14
"169","PERAK","Minggu.12",27
"170","SELANGOR","Minggu.12",381
"171","WPKL/PUTRAJAYA","Minggu.12",107
"172","N.SEMBILAN","Minggu.12",20
"173","MELAKA","Minggu.12",6
"174","JOHOR","Minggu.12",51
"175","PAHANG","Minggu.12",28
"176","TERENGGANU","Minggu.12",12
"177","KELANTAN","Minggu.12",35
"178","SARAWAK","Minggu.12",87
"179","SABAH","Minggu.12",13
"180","LABUAN","Minggu.12",0
"181","PERLIS","Minggu.13",1
"182","KEDAH","Minggu.13",12
"183","PULAU PINANG","Minggu.13",18
"184","PERAK","Minggu.13",40
"185","SELANGOR","Minggu.13",425
